Flight No.,"Date and
time (UTC)","Version,
booster","Launch
site",Payload,Payload mass,Orbit,Customer,"Launch
outcome","Booster
landing"
216,7 April 2023 04:30,"F9 B5
B1076.4","Cape Canaveral, SLC‑40",Intelsat 40e,"~5,588 kg (12,319 lb)",GTO,Intelsat,Success,Success (ASOG)
216,Maxar Technologies-built satellite to service North and Central America. Also hosts the Tropospheric Emissions: Monitoring of Pollution (TEMPO) experiment.,Maxar Technologies-built satellite to service North and Central America. Also hosts the Tropospheric Emissions: Monitoring of Pollution (TEMPO) experiment.,Maxar Technologies-built satellite to service North and Central America. Also hosts the Tropospheric Emissions: Monitoring of Pollution (TEMPO) experiment.,Maxar Technologies-built satellite to service North and Central America. Also hosts the Tropospheric Emissions: Monitoring of Pollution (TEMPO) experiment.,Maxar Technologies-built satellite to service North and Central America. Also hosts the Tropospheric Emissions: Monitoring of Pollution (TEMPO) experiment.,Maxar Technologies-built satellite to service North and Central America. Also hosts the Tropospheric Emissions: Monitoring of Pollution (TEMPO) experiment.,Maxar Technologies-built satellite to service North and Central America. Also hosts the Tropospheric Emissions: Monitoring of Pollution (TEMPO) experiment.,Maxar Technologies-built satellite to service North and Central America. Also hosts the Tropospheric Emissions: Monitoring of Pollution (TEMPO) experiment.,Maxar Technologies-built satellite to service North and Central America. Also hosts the Tropospheric Emissions: Monitoring of Pollution (TEMPO) experiment.
217,"15 April 2023
06:47","F9 B5
B1063.10","Vandenberg, SLC‑4E",Transporter-7 (51 payload smallsat rideshare),Unknown,SSO,Various,Success,Success (LZ‑4)
217,"Dedicated SmallSat Rideshare mission to sun-synchronous orbit. First flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements. Fifth mission featuring a second stage with a long coast mission-extension kit, accommodating the four second stage burns for payload deployment, excluding the deorbit burn.","Dedicated SmallSat Rideshare mission to sun-synchronous orbit. First flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements. Fifth mission featuring a second stage with a long coast mission-extension kit, accommodating the four second stage burns for payload deployment, excluding the deorbit burn.","Dedicated SmallSat Rideshare mission to sun-synchronous orbit. First flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements. Fifth mission featuring a second stage with a long coast mission-extension kit, accommodating the four second stage burns for payload deployment, excluding the deorbit burn.","Dedicated SmallSat Rideshare mission to sun-synchronous orbit. First flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements. Fifth mission featuring a second stage with a long coast mission-extension kit, accommodating the four second stage burns for payload deployment, excluding the deorbit burn.","Dedicated SmallSat Rideshare mission to sun-synchronous orbit. First flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements. Fifth mission featuring a second stage with a long coast mission-extension kit, accommodating the four second stage burns for payload deployment, excluding the deorbit burn.","Dedicated SmallSat Rideshare mission to sun-synchronous orbit. First flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements. Fifth mission featuring a second stage with a long coast mission-extension kit, accommodating the four second stage burns for payload deployment, excluding the deorbit burn.","Dedicated SmallSat Rideshare mission to sun-synchronous orbit. First flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements. Fifth mission featuring a second stage with a long coast mission-extension kit, accommodating the four second stage burns for payload deployment, excluding the deorbit burn.","Dedicated SmallSat Rideshare mission to sun-synchronous orbit. First flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements. Fifth mission featuring a second stage with a long coast mission-extension kit, accommodating the four second stage burns for payload deployment, excluding the deorbit burn.","Dedicated SmallSat Rideshare mission to sun-synchronous orbit. First flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements. Fifth mission featuring a second stage with a long coast mission-extension kit, accommodating the four second stage burns for payload deployment, excluding the deorbit burn."
218,"19 April 2023
14:31","F9 B5
B1073.8","Cape Canaveral, SLC‑40",Starlink: Group 6-2 (21 satellites),"~15,300 kg (33,700 lb)",LEO,SpaceX,Success,Success (ASOG)
218,Launch of 21 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 21 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 21 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 21 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 21 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 21 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 21 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 21 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 21 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.
219,"27 April 2023
13:40","F9 B5
B1061.13","Vandenberg, SLC‑4E",Starlink: Group 3-5 (46 satellites),"~14,100 kg (31,100 lb)",SSO,SpaceX,Success,Success (OCISLY)
219,Launch of 46 Starlink v1.5 satellites to a 560 km (350 mi) sun-synchronous orbit at an inclination of 97.6° to expand internet constellation.,Launch of 46 Starlink v1.5 satellites to a 560 km (350 mi) sun-synchronous orbit at an inclination of 97.6° to expand internet constellation.,Launch of 46 Starlink v1.5 satellites to a 560 km (350 mi) sun-synchronous orbit at an inclination of 97.6° to expand internet constellation.,Launch of 46 Starlink v1.5 satellites to a 560 km (350 mi) sun-synchronous orbit at an inclination of 97.6° to expand internet constellation.,Launch of 46 Starlink v1.5 satellites to a 560 km (350 mi) sun-synchronous orbit at an inclination of 97.6° to expand internet constellation.,Launch of 46 Starlink v1.5 satellites to a 560 km (350 mi) sun-synchronous orbit at an inclination of 97.6° to expand internet constellation.,Launch of 46 Starlink v1.5 satellites to a 560 km (350 mi) sun-synchronous orbit at an inclination of 97.6° to expand internet constellation.,Launch of 46 Starlink v1.5 satellites to a 560 km (350 mi) sun-synchronous orbit at an inclination of 97.6° to expand internet constellation.,Launch of 46 Starlink v1.5 satellites to a 560 km (350 mi) sun-synchronous orbit at an inclination of 97.6° to expand internet constellation.
220,"28 April 2023
22:12","F9 B5
B1078.2","Cape Canaveral, SLC‑40",O3b mPOWER 3 & 4,"~4,100 kg (9,000 lb)",MEO,SES,Success,Success (JRTI)
220,"Second part of SES' MEO satellites for its O3b low-latency, high-performance connectivity services.","Second part of SES' MEO satellites for its O3b low-latency, high-performance connectivity services.","Second part of SES' MEO satellites for its O3b low-latency, high-performance connectivity services.","Second part of SES' MEO satellites for its O3b low-latency, high-performance connectivity services.","Second part of SES' MEO satellites for its O3b low-latency, high-performance connectivity services.","Second part of SES' MEO satellites for its O3b low-latency, high-performance connectivity services.","Second part of SES' MEO satellites for its O3b low-latency, high-performance connectivity services.","Second part of SES' MEO satellites for its O3b low-latency, high-performance connectivity services.","Second part of SES' MEO satellites for its O3b low-latency, high-performance connectivity services."
FH 6,"1 May 2023
00:26","Falcon Heavy B5
B1068 (core)","Kennedy, LC‑39A",ViaSat-3 Americas,"6,400 kg (14,100 lb)",GEO,ViaSat,Success,No attempt
FH 6,"1 May 2023
00:26",B1052.8 (side),"Kennedy, LC‑39A",Aurora 4A (Arcturus),300 kg (660 lb),GEO,Astranis / Pacific Dataport,Success,No attempt
FH 6,"1 May 2023
00:26",B1053.3 (side),"Kennedy, LC‑39A",GS-1,22 kg (49 lb),GEO,Gravity Space,Success,No attempt
FH 6,"This mission directly delivered the satellites to geostationary orbit, thus the core and side boosters were all expendable alongside having the sixth second stage featuring Falcon long coast mission-extension kit. Satellites of the ViaSat-3 class use electric propulsion, which requires less fuel for stationkeeping operations over their lifetime, making them the heaviest all-electric satellites ever launched into space. First mission to expend all three cores. GS-1 is a cubesat operated by Gravity Space on behalf of PT Pasifik Satelit Nusantara who calls the satellite Nusantara-H1-A.","This mission directly delivered the satellites to geostationary orbit, thus the core and side boosters were all expendable alongside having the sixth second stage featuring Falcon long coast mission-extension kit. Satellites of the ViaSat-3 class use electric propulsion, which requires less fuel for stationkeeping operations over their lifetime, making them the heaviest all-electric satellites ever launched into space. First mission to expend all three cores. GS-1 is a cubesat operated by Gravity Space on behalf of PT Pasifik Satelit Nusantara who calls the satellite Nusantara-H1-A.","This mission directly delivered the satellites to geostationary orbit, thus the core and side boosters were all expendable alongside having the sixth second stage featuring Falcon long coast mission-extension kit. Satellites of the ViaSat-3 class use electric propulsion, which requires less fuel for stationkeeping operations over their lifetime, making them the heaviest all-electric satellites ever launched into space. First mission to expend all three cores. GS-1 is a cubesat operated by Gravity Space on behalf of PT Pasifik Satelit Nusantara who calls the satellite Nusantara-H1-A.","This mission directly delivered the satellites to geostationary orbit, thus the core and side boosters were all expendable alongside having the sixth second stage featuring Falcon long coast mission-extension kit. Satellites of the ViaSat-3 class use electric propulsion, which requires less fuel for stationkeeping operations over their lifetime, making them the heaviest all-electric satellites ever launched into space. First mission to expend all three cores. GS-1 is a cubesat operated by Gravity Space on behalf of PT Pasifik Satelit Nusantara who calls the satellite Nusantara-H1-A.","This mission directly delivered the satellites to geostationary orbit, thus the core and side boosters were all expendable alongside having the sixth second stage featuring Falcon long coast mission-extension kit. Satellites of the ViaSat-3 class use electric propulsion, which requires less fuel for stationkeeping operations over their lifetime, making them the heaviest all-electric satellites ever launched into space. First mission to expend all three cores. GS-1 is a cubesat operated by Gravity Space on behalf of PT Pasifik Satelit Nusantara who calls the satellite Nusantara-H1-A.","This mission directly delivered the satellites to geostationary orbit, thus the core and side boosters were all expendable alongside having the sixth second stage featuring Falcon long coast mission-extension kit. Satellites of the ViaSat-3 class use electric propulsion, which requires less fuel for stationkeeping operations over their lifetime, making them the heaviest all-electric satellites ever launched into space. First mission to expend all three cores. GS-1 is a cubesat operated by Gravity Space on behalf of PT Pasifik Satelit Nusantara who calls the satellite Nusantara-H1-A.","This mission directly delivered the satellites to geostationary orbit, thus the core and side boosters were all expendable alongside having the sixth second stage featuring Falcon long coast mission-extension kit. Satellites of the ViaSat-3 class use electric propulsion, which requires less fuel for stationkeeping operations over their lifetime, making them the heaviest all-electric satellites ever launched into space. First mission to expend all three cores. GS-1 is a cubesat operated by Gravity Space on behalf of PT Pasifik Satelit Nusantara who calls the satellite Nusantara-H1-A.","This mission directly delivered the satellites to geostationary orbit, thus the core and side boosters were all expendable alongside having the sixth second stage featuring Falcon long coast mission-extension kit. Satellites of the ViaSat-3 class use electric propulsion, which requires less fuel for stationkeeping operations over their lifetime, making them the heaviest all-electric satellites ever launched into space. First mission to expend all three cores. GS-1 is a cubesat operated by Gravity Space on behalf of PT Pasifik Satelit Nusantara who calls the satellite Nusantara-H1-A.","This mission directly delivered the satellites to geostationary orbit, thus the core and side boosters were all expendable alongside having the sixth second stage featuring Falcon long coast mission-extension kit. Satellites of the ViaSat-3 class use electric propulsion, which requires less fuel for stationkeeping operations over their lifetime, making them the heaviest all-electric satellites ever launched into space. First mission to expend all three cores. GS-1 is a cubesat operated by Gravity Space on behalf of PT Pasifik Satelit Nusantara who calls the satellite Nusantara-H1-A."
221,"4 May 2023
07:31","F9 B5
B1069.7","Cape Canaveral, SLC‑40",Starlink: Group 5-6 (56 satellites),"~17,400 kg (38,400 lb)",LEO,SpaceX,Success,Success (ASOG)
221,Launch of 56 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 56 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 56 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 56 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 56 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 56 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 56 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 56 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 56 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.
222,"10 May 2023
20:09","F9 B5
B1075.3","Vandenberg, SLC‑4E",Starlink: Group 2-9 (51 satellites),"15,900 kg (35,100 lb)",LEO,SpaceX,Success,Success (OCISLY)
222,Launch of 51 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation.,Launch of 51 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation.,Launch of 51 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation.,Launch of 51 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation.,Launch of 51 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation.,Launch of 51 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation.,Launch of 51 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation.,Launch of 51 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation.,Launch of 51 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation.
223,"14 May 2023
05:03","F9 B5
B1067.11","Cape Canaveral, SLC‑40",Starlink: Group 5-9 (56 satellites),"~17,400 kg (38,400 lb)",LEO,SpaceX,Success,Success (JRTI)
223,Launch of 56 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 56 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 56 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 56 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 56 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 56 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 56 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 56 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 56 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.
224,"19 May 2023
06:19","F9 B5
B1076.5","Cape Canaveral, SLC‑40",Starlink: Group 6-3 (22 satellites),"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (ASOG)
224,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.
225,"20 May 2023
13:16","F9 B5
B1063.11","Vandenberg, SLC‑4E","Iridium-NEXT (5 satellites)
OneWeb (15 Gen1 plus a Gen2 test satellite)","~6,600 kg (14,600 lb)",Polar LEO,Iridium & OneWeb,Success,Success (OCISLY)
225,"Iridium-9 rideshare mission, carrying five on-orbit spare Iridium-NEXT satellites along with 15 Gen1 and a demo Gen2 OneWeb satellites. Second flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.","Iridium-9 rideshare mission, carrying five on-orbit spare Iridium-NEXT satellites along with 15 Gen1 and a demo Gen2 OneWeb satellites. Second flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.","Iridium-9 rideshare mission, carrying five on-orbit spare Iridium-NEXT satellites along with 15 Gen1 and a demo Gen2 OneWeb satellites. Second flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.","Iridium-9 rideshare mission, carrying five on-orbit spare Iridium-NEXT satellites along with 15 Gen1 and a demo Gen2 OneWeb satellites. Second flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.","Iridium-9 rideshare mission, carrying five on-orbit spare Iridium-NEXT satellites along with 15 Gen1 and a demo Gen2 OneWeb satellites. Second flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.","Iridium-9 rideshare mission, carrying five on-orbit spare Iridium-NEXT satellites along with 15 Gen1 and a demo Gen2 OneWeb satellites. Second flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.","Iridium-9 rideshare mission, carrying five on-orbit spare Iridium-NEXT satellites along with 15 Gen1 and a demo Gen2 OneWeb satellites. Second flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.","Iridium-9 rideshare mission, carrying five on-orbit spare Iridium-NEXT satellites along with 15 Gen1 and a demo Gen2 OneWeb satellites. Second flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.","Iridium-9 rideshare mission, carrying five on-orbit spare Iridium-NEXT satellites along with 15 Gen1 and a demo Gen2 OneWeb satellites. Second flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements."
226,"21 May 2023
21:37","F9 B5
B1080.1","Kennedy, LC‑39A",Ax-2 (Crew Dragon C212.2 Freedom),"~13,000 kg (29,000 lb)",LEO (ISS),Axiom Space,Success,Success (LZ‑1)
226,Axiom contracted for three additional private crewed missions in June 2021. Peggy Whitson and John Shoffner were signed on as commander and pilot for Ax-2. The third and fourth seats were bought by Saudi Arabia. The Saudi crew members were revealed to be Ali AlQarni and Rayyanah Barnawi. First time a booster landed on a ground pad after a crewed launch.,Axiom contracted for three additional private crewed missions in June 2021. Peggy Whitson and John Shoffner were signed on as commander and pilot for Ax-2. The third and fourth seats were bought by Saudi Arabia. The Saudi crew members were revealed to be Ali AlQarni and Rayyanah Barnawi. First time a booster landed on a ground pad after a crewed launch.,Axiom contracted for three additional private crewed missions in June 2021. Peggy Whitson and John Shoffner were signed on as commander and pilot for Ax-2. The third and fourth seats were bought by Saudi Arabia. The Saudi crew members were revealed to be Ali AlQarni and Rayyanah Barnawi. First time a booster landed on a ground pad after a crewed launch.,Axiom contracted for three additional private crewed missions in June 2021. Peggy Whitson and John Shoffner were signed on as commander and pilot for Ax-2. The third and fourth seats were bought by Saudi Arabia. The Saudi crew members were revealed to be Ali AlQarni and Rayyanah Barnawi. First time a booster landed on a ground pad after a crewed launch.,Axiom contracted for three additional private crewed missions in June 2021. Peggy Whitson and John Shoffner were signed on as commander and pilot for Ax-2. The third and fourth seats were bought by Saudi Arabia. The Saudi crew members were revealed to be Ali AlQarni and Rayyanah Barnawi. First time a booster landed on a ground pad after a crewed launch.,Axiom contracted for three additional private crewed missions in June 2021. Peggy Whitson and John Shoffner were signed on as commander and pilot for Ax-2. The third and fourth seats were bought by Saudi Arabia. The Saudi crew members were revealed to be Ali AlQarni and Rayyanah Barnawi. First time a booster landed on a ground pad after a crewed launch.,Axiom contracted for three additional private crewed missions in June 2021. Peggy Whitson and John Shoffner were signed on as commander and pilot for Ax-2. The third and fourth seats were bought by Saudi Arabia. The Saudi crew members were revealed to be Ali AlQarni and Rayyanah Barnawi. First time a booster landed on a ground pad after a crewed launch.,Axiom contracted for three additional private crewed missions in June 2021. Peggy Whitson and John Shoffner were signed on as commander and pilot for Ax-2. The third and fourth seats were bought by Saudi Arabia. The Saudi crew members were revealed to be Ali AlQarni and Rayyanah Barnawi. First time a booster landed on a ground pad after a crewed launch.,Axiom contracted for three additional private crewed missions in June 2021. Peggy Whitson and John Shoffner were signed on as commander and pilot for Ax-2. The third and fourth seats were bought by Saudi Arabia. The Saudi crew members were revealed to be Ali AlQarni and Rayyanah Barnawi. First time a booster landed on a ground pad after a crewed launch.
227,"27 May 2023
04:30","F9 B5
B1062.14","Cape Canaveral, SLC‑40",ArabSat 7B (Badr-8),"~4,500 kg (9,900 lb)",GTO,Arabsat,Success,Success (JRTI)
227,Includes Airbus's TELEO optical communications payload demonstrator.,Includes Airbus's TELEO optical communications payload demonstrator.,Includes Airbus's TELEO optical communications payload demonstrator.,Includes Airbus's TELEO optical communications payload demonstrator.,Includes Airbus's TELEO optical communications payload demonstrator.,Includes Airbus's TELEO optical communications payload demonstrator.,Includes Airbus's TELEO optical communications payload demonstrator.,Includes Airbus's TELEO optical communications payload demonstrator.,Includes Airbus's TELEO optical communications payload demonstrator.
228,"31 May 2023
06:02","F9 B5
B1061.14","Vandenberg, SLC‑4E",Starlink: Group 2-10 (52 satellites),"~16,400 kg (36,200 lb)",LEO,SpaceX,Success,Success (OCISLY)
228,Launch of 52 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation. The 200th consecutive successful Falcon 9 mission. This launch marked the first time SpaceX completed nine launches in a calendar month.,Launch of 52 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation. The 200th consecutive successful Falcon 9 mission. This launch marked the first time SpaceX completed nine launches in a calendar month.,Launch of 52 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation. The 200th consecutive successful Falcon 9 mission. This launch marked the first time SpaceX completed nine launches in a calendar month.,Launch of 52 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation. The 200th consecutive successful Falcon 9 mission. This launch marked the first time SpaceX completed nine launches in a calendar month.,Launch of 52 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation. The 200th consecutive successful Falcon 9 mission. This launch marked the first time SpaceX completed nine launches in a calendar month.,Launch of 52 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation. The 200th consecutive successful Falcon 9 mission. This launch marked the first time SpaceX completed nine launches in a calendar month.,Launch of 52 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation. The 200th consecutive successful Falcon 9 mission. This launch marked the first time SpaceX completed nine launches in a calendar month.,Launch of 52 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation. The 200th consecutive successful Falcon 9 mission. This launch marked the first time SpaceX completed nine launches in a calendar month.,Launch of 52 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation. The 200th consecutive successful Falcon 9 mission. This launch marked the first time SpaceX completed nine launches in a calendar month.
229,"4 June 2023
12:20","F9 B5
B1078.3","Cape Canaveral, SLC‑40",Starlink: Group 6-4 (22 satellites),"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (JRTI)
229,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.
230,"5 June 2023
15:47","F9 B5
B1077.5","Kennedy, LC‑39A",SpaceX CRS-28 (Dragon C208.4),"~3,304 kg (7,284 lb)",LEO (ISS),NASA (CRS),Success,Success (ASOG)
230,"Three more CRS Phase 2 missions for Dragon 2 covering up to CRS-29 were announced in December 2020. Third flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.","Three more CRS Phase 2 missions for Dragon 2 covering up to CRS-29 were announced in December 2020. Third flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.","Three more CRS Phase 2 missions for Dragon 2 covering up to CRS-29 were announced in December 2020. Third flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.","Three more CRS Phase 2 missions for Dragon 2 covering up to CRS-29 were announced in December 2020. Third flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.","Three more CRS Phase 2 missions for Dragon 2 covering up to CRS-29 were announced in December 2020. Third flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.","Three more CRS Phase 2 missions for Dragon 2 covering up to CRS-29 were announced in December 2020. Third flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.","Three more CRS Phase 2 missions for Dragon 2 covering up to CRS-29 were announced in December 2020. Third flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.","Three more CRS Phase 2 missions for Dragon 2 covering up to CRS-29 were announced in December 2020. Third flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.","Three more CRS Phase 2 missions for Dragon 2 covering up to CRS-29 were announced in December 2020. Third flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements."
231,"12 June 2023
07:10","F9 B5
B1073.9","Cape Canaveral, SLC‑40",Starlink: Group 5-11 (52 satellites),"~16,400 kg (36,200 lb)",LEO,SpaceX,Success,Success (JRTI)
231,Launch of 52 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 52 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 52 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 52 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 52 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 52 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 52 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 52 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 52 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.
